iter	Passed	Remaining
408	5043	7287
409	5053	7272
410	5058	7249
411	5063	7226
412	5077	7217
413	5087	7200
414	5093	7179
415	5106	7168
416	5111	7145
417	5118	7126
418	5124	7105
419	5127	7081
420	5137	7064
421	5141	7041
422	5145	7018
423	5154	7002
424	5158	6978
425	5162	6955
426	5168	6935
427	5173	6913
428	5184	6900
429	5189	6879
430	5199	6863
431	5205	6844
432	5216	6831
433	5221	6810
434	5232	6795
435	5237	6774
436	5246	6759
437	5251	6738
438	5256	6717
439	5266	6702
440	5297	6715
441	5302	6694
442	5307	6673
443	5313	6653
444	5325	6642
445	5332	6623
446	5357	6628
447	5362	6607
448	5371	6592
449	5376	6571
450	5382	6551
451	5389	6534
452	5426	6552
453	5436	6538
454	5442	6519
455	5447	6498
456	5456	6483
457	5461	6463
458	5471	6448
459	5477	6429
460	5483	6411
461	5489	6392
462	5494	6372
463	5501	6355
464	5506	6335
465	5545	6355
466	5554	6339
467	5559	6319
468	5568	6304
469	5573	6284
470	5578	6265
471	5593	6257
472	5600	6239
473	5605	6220
474	5610	6201
475	5617	6184
476	5623	6165
477	5642	6162
478	5651	6147
479	5656	6128
480	5661	6108
481	5669	6093
482	5675	6075
483	5685	6061
484	5692	6044
485	5704	6033
486	5709	6014
487	5717	5998
488	5738	5996
489	5744	5979
490	5753	5964
491	5758	5946
492	5766	5930
493	5772	5912
494	5788	5905
495	5799	5892
496	5805	5875
497	5813	5860
498	5819	5843
499	5824	5824
500	5836	5813
501	5843	5796
502	5855	5785
503	5863	5770
504	5866	5749
505	5871	5732
506	5881	5719
507	5885	5700
508	5887	5679
509	5889	5658
510	5891	5637
511	5896	5619
512	5898	5599
513	5900	5579
514	5903	5559
515	5905	5539
516	5908	5519
517	5922	5510
518	5924	5490
519	5929	5473
520	5930	5452
521	5932	5432
522	5932	5411
523	5934	5391
524	5936	5371
525	5938	5351
526	5940	5331
527	5945	5314
528	5947	5295
529	5948	5275
530	5950	5255
531	5952	5236
532	5955	5218
533	5958	5199
534	5960	5180
535	5961	5161
536	5972	5149
537	5974	5130
538	5976	5111
539	5978	5092
540	5980	5073
541	5982	5055
542	5984	5036
543	5986	5017
544	5988	4999
545	5990	4980
546	5992	4962
547	5994	4944
548	5995	4925
549	5997	4907
550	6001	4890
551	6003	4872
552	6005	4854
553	6007	4836
554	6009	4818
555	6013	4802
556	6015	4784
557	6017	4766
558	6022	4751
559	6029	4737
560	6031	4719
561	6032	4701
562	6034	4684
563	6036	4666
564	6038	4648
565	6039	4631
566	6041	4613
567	6051	4602
568	6054	4585
569	6056	4568
570	6058	4551
571	6061	4535
572	6063	4518
573	6099	4526
574	6103	4511
575	6105	4494
576	6108	4478
577	6113	4463
578	6115	4446
579	6118	4430
580	6120	4414
581	6122	4397
582	6124	4380
583	6128	4365
584	6130	4348
585	6132	4332
586	6134	4315
587	6136	4299
588	6138	4283
589	6140	4266
590	6144	4252
591	6146	4235
592	6147	4219
593	6149	4203
594	6151	4187
595	6153	4170
596	6155	4154
597	6156	4138
598	6160	4124
599	6162	4108
600	6163	4091
601	6165	4076
602	6166	4060
603	6168	4044
604	6170	4028
605	6171	4012
606	6173	3996
607	6176	3982
608	6178	3966
609	6179	3951
610	6181	3935
611	6182	3919
612	6184	3904
613	6185	3888
614	6187	3873
615	6188	3858
616	6192	3844
617	6194	3828
618	6195	3813
619	6197	3798
620	6199	3783
621	6201	3768
622	6203	3753
623	6205	3739
624	6208	3724
625	6210	3710
626	6212	3695
627	6214	3681
628	6215	3666
629	6217	3651
630	6219	3637
631	6224	3624
632	6226	3609
633	6228	3595
634	6230	3581
635	6232	3566
636	6234	3552
637	6238	3539
638	6240	3525
639	6242	3511
640	6244	3497
641	6246	3483
642	6247	3468
643	6249	3454
644	6251	3440
645	6262	3431
646	6264	3417
647	6266	3403
648	6268	3390
649	6272	3377
650	6274	3363
651	6276	3349
652	6277	3336
653	6279	3322
654	6281	3308
655	6283	3294
656	6284	3281
657	6289	3268
658	6291	3255
659	6293	3242
660	6295	3228
661	6302	3217
662	6306	3205
663	6313	3194
664	6315	3181
665	6317	3168
666	6319	3155
667	6321	3141
668	6323	3128
669	6327	3116
670	6329	3103
671	6331	3090
672	6333	3077
673	6335	3064
674	6337	3051
675	6339	3038
676	6345	3027
677	6347	3014
678	6349	3001
679	6351	2989
680	6353	2976
681	6355	2963
682	6360	2951
683	6362	2939
684	6364	2926
685	6366	2913
686	6368	2901
687	6370	2888
688	6372	2876
689	6376	2864
690	6378	2852
691	6380	2839
692	6382	2827
693	6384	2815
694	6386	2802
695	6388	2790
696	6393	2779
697	6395	2767
698	6397	2754
699	6399	2742
700	6401	2730
701	6403	2718
702	6405	2705
703	6409	2694
704	6411	2682
705	6413	2670
706	6415	2658
707	6417	2646
708	6419	2634
709	6421	2622
710	6431	2614
711	6433	2602
712	6435	2590
713	6437	2578
714	6441	2567
715	6443	2555
716	6445	2543
717	6447	2532
718	6451	2521
719	6453	2509
720	6457	2498
721	6459	2487
722	6461	2475
723	6462	2463
724	6464	2452
725	6466	2440
726	6468	2429
727	6473	2418
728	6474	2406
729	6476	2395
730	6478	2384
731	6480	2372
732	6482	2361
733	6484	2349
734	6486	2338
735	6490	2328
736	6492	2316
737	6494	2305
738	6496	2294
739	6498	2283
740	6499	2271
741	6501	2260
742	6505	2250
743	6507	2239
744	6509	2228
745	6511	2217
746	6513	2206
747	6514	2194
748	6516	2183
749	6518	2172
750	6522	2162
751	6524	2151
752	6526	2140
753	6527	2129
754	6529	2118
755	6531	2108
756	6533	2097
757	6538	2087
758	6540	2076
759	6541	2065
760	6543	2055
761	6545	2044
762	6547	2033
763	6549	2023
764	6552	2012
765	6554	2002
766	6556	1991
767	6558	1981
768	6560	1970
769	6562	1960
770	6566	1950
771	6570	1940
772	6572	1930
773	6574	1919
774	6576	1909
775	6577	1898
776	6579	1888
777	6581	1877
778	6583	1867
779	6589	1858
780	6591	1848
781	6593	1838
782	6595	1827
783	6597	1817
784	6599	1807
785	6604	1798
786	6606	1787
787	6608	1777
788	6611	1768
789	6613	1758
790	6618	1748
791	6620	1738
792	6622	1728
793	6624	1718
794	6629	1709
795	6637	1701
796	6639	1691
797	6641	1681
798	6643	1671
799	6645	1661
800	6647	1651
801	6651	1642
802	6653	1632
803	6654	1622
804	6656	1612
805	6658	1602
806	6660	1592
807	6661	1583
808	6663	1573
809	6667	1564
810	6669	1554
811	6671	1544
812	6673	1534
813	6675	1525
814	6676	1515
815	6678	1505
816	6680	1496
817	6684	1487
818	6685	1477
819	6687	1467
820	6688	1458
821	6690	1448
822	6692	1439
823	6694	1429
824	6696	1420
825	6700	1411
826	6702	1402
827	6704	1392
828	6708	1383
829	6712	1374
830	6718	1366
831	6723	1357
832	6725	1348
833	6726	1338
834	6728	1329
835	6733	1320
836	6734	1311
837	6737	1302
838	6738	1293
839	6740	1283
840	6742	1274
841	6744	1265
842	6771	1261
843	6772	1251
844	6775	1242
845	6777	1233
846	6781	1225
847	6783	1215
848	6785	1206
849	6787	1197
850	6789	1188
851	6791	1179
852	6793	1170
853	6797	1162
854	6804	1153
855	6806	1145
856	6808	1136
857	6828	1130
858	6832	1121
859	6834	1112
860	6840	1104
861	6842	1095
862	6844	1086
863	6850	1078
864	6852	1069
865	6854	1060
866	6856	1051
867	6858	1042
868	6860	1034
869	6864	1025
870	6866	1016
871	6868	1008
872	6870	999
873	6871	990
874	6873	981
875	6875	973
876	6880	965
877	6889	957
878	6897	949
879	6901	941
880	6906	932
881	6914	925
882	6916	916
883	6919	908
884	6959	904
885	6970	896
886	6972	888
887	6974	879
888	6976	871
889	6978	862
890	7037	860
891	7039	852
892	7041	843
893	7043	835
894	7045	826
895	7048	818
896	7049	809
897	7052	801
898	7054	792
899	7057	784
900	7060	775
901	7062	767
902	7064	758
903	7067	750
904	7101	745
905	7103	736
906	7105	728
907	7107	720
908	7109	711
909	7111	703
910	7116	695
911	7119	686
912	7130	679
913	7132	671
914	7134	662
915	7136	654
916	7138	646
917	7145	638
918	7148	630
919	7194	625
920	7196	617
921	7198	608
922	7200	600
923	7202	592
924	7204	584
925	7206	575
926	7211	567
927	7213	559
928	7215	551
929	7217	543
930	7219	535
931	7221	526
932	7223	518
933	7226	510
934	7228	502
935	7281	497
936	7284	489
937	7319	483
938	7322	475
939	7324	467
940	7326	459
941	7331	451
942	7333	443
943	7336	435
944	7338	427
945	7340	419
946	7346	411
947	7348	403
948	7350	395
949	7352	386
950	7354	378
951	7358	371
952	7360	363
953	7362	354
954	7363	346
955	7365	338
956	7367	331
957	7372	323
958	7378	315
959	7380	307
960	7385	299
961	7391	291
962	7393	284
963	7396	276
964	7402	268
965	7411	260
966	7413	252
967	7414	245
968	7418	237
969	7420	229
970	7421	221
971	7424	213
972	7426	206
973	7428	198
974	7430	190
975	7440	182
976	7442	175
977	7444	167
978	7454	159
979	7456	152
980	7459	144
981	7491	137
982	7514	129
983	7524	122
984	7531	114
985	7539	107
986	7541	99
987	7543	91
988	7545	83
989	7548	76
990	7556	68
991	7558	60
992	7560	53
993	7562	45
994	7564	38
995	7589	30
996	7624	22
997	7628	15
998	7629	7
999	7631	0
